"area_name","pop","area_name_density","density"
"Boone, AR",36903,"Boone, AR",62.5
"Bradley, AR",11508,"Bradley, AR",17.7
"Calhoun, AR",5368,"Calhoun, AR",8.5
"Carroll, AR",27446,"Carroll, AR",43.6
"Chicot, AR",11800,"Chicot, AR",18.3
"Clark, AR",22995,"Clark, AR",26.6
"Clay, AR",16083,"Clay, AR",25.2
"Cleburne, AR",25970,"Cleburne, AR",46.9
"Cleveland, AR",8689,"Cleveland, AR",14.5
"Columbia, AR",24552,"Columbia, AR",32.1
"Conway, AR",21273,"Conway, AR",38.5
"Craighead, AR",96443,"Craighead, AR",136.4
"Crawford, AR",61948,"Crawford, AR",104.4
"Crittenden, AR",50902,"Crittenden, AR",83.5
"Cross, AR",17870,"Cross, AR",29
"Dallas, AR",8116,"Dallas, AR",12.2
"Desha, AR",13008,"Desha, AR",16.9
"Drew, AR",18509,"Drew, AR",22.3
"Faulkner, AR",113237,"Faulkner, AR",174.8
"Franklin, AR",18125,"Franklin, AR",29.8
"Fulton, AR",12245,"Fulton, AR",19.8
"Garland, AR",96024,"Garland, AR",141.7
"Grant, AR",17853,"Grant, AR",28.3
"Greene, AR",42090,"Greene, AR",72.9
"Hempstead, AR",22609,"Hempstead, AR",31.1
"Hot Spring, AR",32923,"Hot Spring, AR",53.5
"Howard, AR",13789,"Howard, AR",23.4
"Independence, AR",36647,"Independence, AR",48
"Izard, AR",13696,"Izard, AR",23.6
"Jackson, AR",17997,"Jackson, AR",28.4
"Jefferson, AR",77435,"Jefferson, AR",88.9
"Johnson, AR",25540,"Johnson, AR",38.7
"Lafayette, AR",7645,"Lafayette, AR",14.5
"Lawrence, AR",17415,"Lawrence, AR",29.6
"Lee, AR",10424,"Lee, AR",17.3
"Lincoln, AR",14134,"Lincoln, AR",25.2
"Little River, AR",13171,"Little River, AR",24.7
"Logan, AR",22353,"Logan, AR",31.6
"Lonoke, AR",68356,"Lonoke, AR",88.7
"Madison, AR",15717,"Madison, AR",18.8
"Marion, AR",16653,"Marion, AR",27.9
"Miller, AR",43462,"Miller, AR",69.5
"Mississippi, AR",46480,"Mississippi, AR",51.6
"Monroe, AR",8149,"Monroe, AR",13.4
"Montgomery, AR",9487,"Montgomery, AR",12.2
"Nevada, AR",8997,"Nevada, AR",14.6
"Newton, AR",8330,"Newton, AR",10.1
"Ouachita, AR",26120,"Ouachita, AR",35.6
"Perry, AR",10445,"Perry, AR",18.9
"Phillips, AR",21757,"Phillips, AR",31.3
"Pike, AR",11291,"Pike, AR",18.8
"Poinsett, AR",24583,"Poinsett, AR",32.4
"Polk, AR",20662,"Polk, AR",24.1
"Pope, AR",61754,"Pope, AR",76
"Prairie, AR",8715,"Prairie, AR",13.4
"Pulaski, AR",382748,"Pulaski, AR",503.8
"Randolph, AR",17969,"Randolph, AR",27.6
"St. Francis, AR",28258,"St. Francis, AR",44.5
"Saline, AR",107118,"Saline, AR",148
"Scott, AR",11233,"Scott, AR",12.6
"Searcy, AR",8195,"Searcy, AR",12.3
"Sebastian, AR",125744,"Sebastian, AR",236.4
"Sevier, AR",17058,"Sevier, AR",30.2
"Sharp, AR",17264,"Sharp, AR",28.6
"Stone, AR",12394,"Stone, AR",20.4
"Union, AR",41639,"Union, AR",40.1
"Van Buren, AR",17295,"Van Buren, AR",24.4
"Washington, AR",203065,"Washington, AR",215.6
"White, AR",77076,"White, AR",74.5
"Woodruff, AR",7260,"Woodruff, AR",12.4
"Yell, AR",22185,"Yell, AR",23.9
"CALIFORNIA",37253956,"CALIFORNIA",239.1
"Alameda, CA",1510271,"Alameda, CA",2043.6
"Alpine, CA",1175,"Alpine, CA",1.6
"Amador, CA",38091,"Amador, CA",64.1
"Butte, CA",220000,"Butte, CA",134.4
"Calaveras, CA",45578,"Calaveras, CA",44.7
"Colusa, CA",21419,"Colusa, CA",18.6
"Contra Costa, CA",1049025,"Contra Costa, CA",1465.2
"Del Norte, CA",28610,"Del Norte, CA",28.4
"El Dorado, CA",181058,"El Dorado, CA",106
"Fresno, CA",930450,"Fresno, CA",156.2
"Glenn, CA",28122,"Glenn, CA",21.4
"Humboldt, CA",134623,"Humboldt, CA",37.7
"Imperial, CA",174528,"Imperial, CA",41.8
"Inyo, CA",18546,"Inyo, CA",1.8
"Kern, CA",839631,"Kern, CA",103.3
"Kings, CA",152982,"Kings, CA",110.1
"Lake, CA",64665,"Lake, CA",51.5
"Lassen, CA",34895,"Lassen, CA",7.7
"Los Angeles, CA",9818605,"Los Angeles, CA",2419.6
"Madera, CA",150865,"Madera, CA",70.6
"Marin, CA",252409,"Marin, CA",485.1
"Mariposa, CA",18251,"Mariposa, CA",12.6
"Mendocino, CA",87841,"Mendocino, CA",25.1
"Merced, CA",255793,"Merced, CA",132.2
"Modoc, CA",9686,"Modoc, CA",2.5
"Mono, CA",14202,"Mono, CA",4.7
"Monterey, CA",415057,"Monterey, CA",126.5
"Napa, CA",136484,"Napa, CA",182.4
"Nevada, CA",98764,"Nevada, CA",103.1
"Orange, CA",3010232,"Orange, CA",3807.7
"Placer, CA",348432,"Placer, CA",247.6
"Plumas, CA",20007,"Plumas, CA",7.8
"Riverside, CA",2189641,"Riverside, CA",303.8
"Sacramento, CA",1418788,"Sacramento, CA",1470.8
"San Benito, CA",55269,"San Benito, CA",39.8
"San Bernardino, CA",2035210,"San Bernardino, CA",101.5
"San Diego, CA",3095313,"San Diego, CA",735.8
"San Francisco, CA",805235,"San Francisco, CA",17179.1
"San Joaquin, CA",685306,"San Joaquin, CA",492.6
"San Luis Obispo, CA",269637,"San Luis Obispo, CA",81.7
"San Mateo, CA",718451,"San Mateo, CA",1602.2
"Santa Barbara, CA",423895,"Santa Barbara, CA",155
"Santa Clara, CA",1781642,"Santa Clara, CA",1381
"Santa Cruz, CA",262382,"Santa Cruz, CA",589.4
"Shasta, CA",177223,"Shasta, CA",46.9
"Sierra, CA",3240,"Sierra, CA",3.4
"Siskiyou, CA",44900,"Siskiyou, CA",7.2
"Solano, CA",413344,"Solano, CA",503
"Sonoma, CA",483878,"Sonoma, CA",307.1
"Stanislaus, CA",514453,"Stanislaus, CA",344.2
"Sutter, CA",94737,"Sutter, CA",157.3
"Tehama, CA",63463,"Tehama, CA",21.5
"Trinity, CA",13786,"Trinity, CA",4.3
"Tulare, CA",442179,"Tulare, CA",91.7
"Tuolumne, CA",55365,"Tuolumne, CA",24.9
"Ventura, CA",823318,"Ventura, CA",446.7
"Yolo, CA",200849,"Yolo, CA",197.9
"Yuba, CA",72155,"Yuba, CA",114.2
"COLORADO",5029196,"COLORADO",48.5
"Adams, CO",441603,"Adams, CO",378.2
"Alamosa, CO",15445,"Alamosa, CO",21.4
"Arapahoe, CO",572003,"Arapahoe, CO",716.7
"Archuleta, CO",12084,"Archuleta, CO",8.9
"Baca, CO",3788,"Baca, CO",1.5
"Bent, CO",6499,"Bent, CO",4.3
"Boulder, CO",294567,"Boulder, CO",405.6
"Broomfield, CO",55889,"Broomfield, CO",1691.9
"Chaffee, CO",17809,"Chaffee, CO",17.6
"Cheyenne, CO",1836,"Cheyenne, CO",1
"Clear Creek, CO",9088,"Clear Creek, CO",23
"Conejos, CO",8256,"Conejos, CO",6.4
"Costilla, CO",3524,"Costilla, CO",2.9
"Crowley, CO",5823,"Crowley, CO",7.4
"Custer, CO",4255,"Custer, CO",5.8
"Delta, CO",30952,"Delta, CO",27.1
"Denver, CO",600158,"Denver, CO",3922.6
"Dolores, CO",2064,"Dolores, CO",1.9
"Douglas, CO",285465,"Douglas, CO",339.7
"Eagle, CO",52197,"Eagle, CO",31
"Elbert, CO",23086,"Elbert, CO",12.5
"El Paso, CO",622263,"El Paso, CO",292.6
"Fremont, CO",46824,"Fremont, CO",30.5
"Garfield, CO",56389,"Garfield, CO",19.1
"Gilpin, CO",5441,"Gilpin, CO",36.3
"Grand, CO",14843,"Grand, CO",8
"Gunnison, CO",15324,"Gunnison, CO",4.7
"Hinsdale, CO",843,"Hinsdale, CO",0.8
"Huerfano, CO",6711,"Huerfano, CO",4.2
"Jackson, CO",1394,"Jackson, CO",0.9
"Jefferson, CO",534543,"Jefferson, CO",699.5
"Kiowa, CO",1398,"Kiowa, CO",0.8
"Kit Carson, CO",8270,"Kit Carson, CO",3.8
"Lake, CO",7310,"Lake, CO",19.4
"La Plata, CO",51334,"La Plata, CO",30.3
"Larimer, CO",299630,"Larimer, CO",115.4
"Las Animas, CO",15507,"Las Animas, CO",3.2
"Lincoln, CO",5467,"Lincoln, CO",2.1
"Logan, CO",22709,"Logan, CO",12.4
"Mesa, CO",146723,"Mesa, CO",44.1
"Mineral, CO",712,"Mineral, CO",0.8
"Moffat, CO",13795,"Moffat, CO",2.9
"Montezuma, CO",25535,"Montezuma, CO",12.6
"Montrose, CO",41276,"Montrose, CO",18.4
"Morgan, CO",28159,"Morgan, CO",22
"Otero, CO",18831,"Otero, CO",14.9
"Ouray, CO",4436,"Ouray, CO",8.2
"Park, CO",16206,"Park, CO",7.4
"Phillips, CO",4442,"Phillips, CO",6.5
"Pitkin, CO",17148,"Pitkin, CO",17.7
"Prowers, CO",12551,"Prowers, CO",7.7
"Pueblo, CO",159063,"Pueblo, CO",66.7
"Rio Blanco, CO",6666,"Rio Blanco, CO",2.1
"Rio Grande, CO",11982,"Rio Grande, CO",13.1
"Routt, CO",23509,"Routt, CO",10
"Saguache, CO",6108,"Saguache, CO",1.9
"San Juan, CO",699,"San Juan, CO",1.8
"San Miguel, CO",7359,"San Miguel, CO",5.7
"Sedgwick, CO",2379,"Sedgwick, CO",4.3
"Summit, CO",27994,"Summit, CO",46
"Teller, CO",23350,"Teller, CO",41.9
"Washington, CO",4814,"Washington, CO",1.9
"Weld, CO",252825,"Weld, CO",63.4
"Yuma, CO",10043,"Yuma, CO",4.2
"CONNECTICUT",3574097,"CONNECTICUT",738.1
"Fairfield, CT",916829,"Fairfield, CT",1467.2
"Hartford, CT",894014,"Hartford, CT",1216.2
"Litchfield, CT",189927,"Litchfield, CT",206.3
"Middlesex, CT",165676,"Middlesex, CT",448.6
"New Haven, CT",862477,"New Haven, CT",1426.7
"New London, CT",274055,"New London, CT",412.2
"Tolland, CT",152691,"Tolland, CT",372.2
"Windham, CT",118428,"Windham, CT",230.9
"DELAWARE",897934,"DELAWARE",460.8
"Kent, DE",162310,"Kent, DE",276.9
"New Castle, DE",538479,"New Castle, DE",1263.2
"Sussex, DE",197145,"Sussex, DE",210.6
"DISTRICT OF COLUMBIA",601723,"DISTRICT OF COLUMBIA",9856.5
"District of Columbia",601723,"District of Columbia",9856.6
"FLORIDA",18801310,"FLORIDA",350.6
"Alachua, FL",247336,"Alachua, FL",282.7
"Baker, FL",27115,"Baker, FL",46.3
"Bay, FL",168852,"Bay, FL",222.6
"Bradford, FL",28520,"Bradford, FL",97
"Brevard, FL",543376,"Brevard, FL",535
"Broward, FL",1748066,"Broward, FL",1444.9
"Calhoun, FL",14625,"Calhoun, FL",25.8
"Charlotte, FL",159978,"Charlotte, FL",235.2
"Citrus, FL",141236,"Citrus, FL",242.8
"Clay, FL",190865,"Clay, FL",315.8
"Collier, FL",321520,"Collier, FL",160.9
"Columbia, FL",67531,"Columbia, FL",84.7
"DeSoto, FL",34862,"DeSoto, FL",54.7
"Dixie, FL",16422,"Dixie, FL",23.3
"Duval, FL",864263,"Duval, FL",1133.9
"Escambia, FL",297619,"Escambia, FL",453.4
"Flagler, FL",95696,"Flagler, FL",197.1
"Franklin, FL",11549,"Franklin, FL",21.6
"Gadsden, FL",46389,"Gadsden, FL",89.8
"Gilchrist, FL",16939,"Gilchrist, FL",48.4
"Glades, FL",12884,"Glades, FL",16
"Gulf, FL",15863,"Gulf, FL",28.1
"Hamilton, FL",14799,"Hamilton, FL",28.8
"Hardee, FL",27731,"Hardee, FL",43.5
"Hendry, FL",39140,"Hendry, FL",34
"Hernando, FL",172778,"Hernando, FL",365.6
"Highlands, FL",98786,"Highlands, FL",97.2
"Hillsborough, FL",1229226,"Hillsborough, FL",1204.9
"Holmes, FL",19927,"Holmes, FL",41.6
"Indian River, FL",138028,"Indian River, FL",274.5
"Jackson, FL",49746,"Jackson, FL",54.2
"Jefferson, FL",14761,"Jefferson, FL",24.7
"Lafayette, FL",8870,"Lafayette, FL",16.3
"Lake, FL",297052,"Lake, FL",316.6
"Lee, FL",618754,"Lee, FL",788.7
"Leon, FL",275487,"Leon, FL",413.1
"Levy, FL",40801,"Levy, FL",36.5
"Liberty, FL",8365,"Liberty, FL",10
"Madison, FL",19224,"Madison, FL",27.6
"Manatee, FL",322833,"Manatee, FL",434.5
"Marion, FL",331298,"Marion, FL",209.1
"Martin, FL",146318,"Martin, FL",269.2
"Miami-Dade, FL",2496435,"Miami-Dade, FL",1315.5
"Monroe, FL",73090,"Monroe, FL",74.3
"Nassau, FL",73314,"Nassau, FL",113
"Okaloosa, FL",180822,"Okaloosa, FL",194.4
"Okeechobee, FL",39996,"Okeechobee, FL",52
"Orange, FL",1145956,"Orange, FL",1268.5
"Osceola, FL",268685,"Osceola, FL",202.4
"Palm Beach, FL",1320134,"Palm Beach, FL",670.2
